               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.039963,            0.063455,            0.022372,             0.77502,             0.17147,             0.19626,             0.10485,                 nan,                 nan,                 nan,            0.006337,            0.006337,            0.006337
                  39,            0.043072,            0.063478,              0.0211,             0.77189,             0.16408,             0.19654,              0.1104,                 nan,                 nan,                 nan,            0.006238,            0.006238,            0.006238
                  40,            0.040113,            0.061528,            0.022297,             0.76925,             0.17721,             0.19846,             0.10876,                 nan,                 nan,                 nan,            0.006139,            0.006139,            0.006139
                  41,            0.039444,            0.057272,            0.023291,             0.80727,             0.16838,             0.19769,             0.10751,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  42,            0.039104,            0.057168,            0.019184,             0.77931,             0.17844,              0.2007,             0.10906,                 nan,                 nan,                 nan,            0.005941,            0.005941,            0.005941
                  43,             0.03961,            0.055505,            0.020221,             0.83376,             0.16659,             0.19556,              0.1064,                 nan,                 nan,                 nan,            0.005842,            0.005842,            0.005842
                  44,            0.038406,            0.058493,            0.018305,             0.83619,             0.17188,             0.20953,              0.1112,                 nan,                 nan,                 nan,            0.005743,            0.005743,            0.005743
                  45,            0.038111,            0.057498,            0.018952,             0.82858,             0.16945,             0.20897,             0.10658,                 nan,                 nan,                 nan,            0.005644,            0.005644,            0.005644
                  46,            0.037946,            0.052069,             0.02148,              0.8206,             0.17119,             0.20516,             0.11267,                 nan,                 nan,                 nan,            0.005545,            0.005545,            0.005545
                  47,            0.038733,            0.059474,            0.020829,             0.74724,             0.18389,             0.21563,              0.1195,                 nan,                 nan,                 nan,            0.005446,            0.005446,            0.005446
                  48,            0.038404,            0.053603,            0.018633,             0.82128,             0.17474,             0.21247,             0.12102,                 nan,                 nan,                 nan,            0.005347,            0.005347,            0.005347
                  49,            0.037648,            0.058227,            0.017071,             0.83163,             0.17319,             0.21698,             0.11606,                 nan,                 nan,                 nan,            0.005248,            0.005248,            0.005248
                  50,            0.040263,             0.05968,            0.016817,             0.77879,              0.1905,             0.22719,             0.12631,                 nan,                 nan,                 nan,            0.005149,            0.005149,            0.005149
                  51,            0.037376,            0.050498,            0.020893,             0.81579,              0.1937,             0.22511,             0.12978,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                  52,            0.037403,            0.055572,            0.018363,              0.7964,             0.19042,             0.21478,             0.12204,                 nan,                 nan,                 nan,            0.004951,            0.004951,            0.004951
                  53,            0.038183,            0.055747,            0.017178,             0.83132,             0.19223,             0.22159,             0.12322,                 nan,                 nan,                 nan,            0.004852,            0.004852,            0.004852
                  54,            0.036344,            0.052141,            0.018723,             0.82499,              0.1857,             0.22232,             0.12251,                 nan,                 nan,                 nan,            0.004753,            0.004753,            0.004753
                  55,            0.037602,            0.054857,            0.016015,             0.84461,             0.17946,             0.21862,             0.12305,                 nan,                 nan,                 nan,            0.004654,            0.004654,            0.004654
                  56,            0.037665,            0.054017,            0.019029,             0.84162,              0.1854,             0.22386,               0.125,                 nan,                 nan,                 nan,            0.004555,            0.004555,            0.004555
